TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
26 junio 2023 13:58 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,66,58.4070,66,58.4070,0,24721,16980,68.6865

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19922,"Alta Verapaz",16,"Cahabón",12,3067,380,10,4,30,12,2,19,72,0,2,0,52,6,6,0,47,0,0,1,263,27,14,304,0,304,--,377,73,263,304,304,Algún campo sin dato,1,6dd6253e735df6331a8e59756a835b2195602095043909d67dacfb5d37b51be4,26/06/2023 11:13:17,ESCANER
19923,"Alta Verapaz",16,"Cahabón",12,3068,380,5,2,65,11,5,23,57,0,0,0,39,3,4,4,33,0,1,1,253,18,6,277,0,253,--,380,103,253,277,277,Sumas Asentadas sin cuadrar,1,f2a09caa11ffa7c826318d9f5819ba9606febcafdba169107affbfe44118d4b2,26/06/2023 11:19:45,ESCANER
19924,"Alta Verapaz",16,"Cahabón",12,3068,380,3,2,83,15,3,12,78,0,3,0,43,2,7,2,17,1,1,2,274,25,6,305,0,305,--,380,75,274,305,305,Algún campo sin dato,1,006b5c62a02d19d44d900a0a4a08156c34be56138cd8ea9e1e72054de8440149,26/06/2023 12:26:15,ESCANER
19925,"Alta Verapaz",16,"Cahabón",12,3068,380,6,4,56,4,2,18,67,0,1,1,44,4,3,1,37,0,0,1,249,10,6,265,0,265,--,380,115,249,265,265,Algún campo sin dato,1,7c8b78a6cf103082e4c80e6028cc855f221fa2490de13a38b4d3abcbeb9aa7a6,26/06/2023 12:05:59,ESCANER
19926,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19927,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19928,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19929,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19930,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19931,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
